Starting regulation...
User: jaguerra with 190 | Wiljan 218 -> 218 | New credit: 190
User: jaguerra with 190 | Iván Abril 207 -> 207 | New credit: 190
User: econtreras with 32 | Wiljan 218 -> 218 | New credit: 32
User: econtreras with 32 | Iván Abril 207 -> 207 | New credit: 32
User: ljalvarez with 219 | Wiljan 218 -> 218 | New credit: 219
User: ljalvarez with 219 | Pol 190 -> 190 | New credit: 219
User: ljalvarez with 219 | J.M. Expósito 173 -> 173 | New credit: 219
User: cbello with 2 | Carlos B. 176 -> 176 | New credit: 2
User: jaltava with 101 | J. Padrón 185 -> 185 | New credit: 101
User: jaltava with 101 | Jorge P. 174 -> 174 | New credit: 101
User: jaguerra with 190 | J. Padrón 185 -> 185 | New credit: 190
User: cbello with 2 | Jakub 142 -> 142 | New credit: 2
User: gmerino with 360 | Jorge P. 174 -> 174 | New credit: 360
User: cbello with 2 | Jorge P. 174 -> 174 | New credit: 2
User: gmerino with 360 | Adrián del C. 127 -> 127 | New credit: 360
User: cbello with 2 | Marta R. 130 -> 130 | New credit: 2
User: gmerino with 360 | Guillermo M. 139 -> 139 | New credit: 360
User: rsastre with 16 | Jorge P. 174 -> 174 | New credit: 16
User: rsastre with 16 | J. Padrón 185 -> 185 | New credit: 16
User: ivan with 11 | Darío 125 -> 125 | New credit: 11
User: aaron with 0 | Iván Abril 207 -> 207 | New credit: 0
User: aaron with 0 | Milena 196 -> 196 | New credit: 0
User: aaron with 0 | Pol 190 -> 190 | New credit: 0
User: aviedma with 48 | Ana M. 142 -> 142 | New credit: 48
User: ivan with 11 | Pilar R. 79 -> 79 | New credit: 11
User: ivan with 11 | Laura A. 48 -> 48 | New credit: 11
User: ivan with 11 | Marta R. 130 -> 130 | New credit: 11
User: ivan with 11 | Adrián del C. 127 -> 127 | New credit: 11
User: ivan with 11 | Quique 97 -> 97 | New credit: 11
User: ivan with 11 | Carmen B. 135 -> 135 | New credit: 11
User: jbravo with 3 | Jakub 142 -> 142 | New credit: 3
User: jbravo with 3 | Pol 190 -> 190 | New credit: 3
User: jbravo with 3 | Pilar R. 79 -> 79 | New credit: 3
User: jbravo with 3 | Milena 196 -> 196 | New credit: 3
User: pprada with 25 | Laura A. 48 -> 48 | New credit: 25
User: pprada with 25 | Pilar R. 79 -> 79 | New credit: 25
